SHZ_ADJ;Shimazu's;Shimazu's;Shimazu's;;;;;;;;;;;x;
SHZ;Shimazu;Shimazu;Shimazu;;;;;;;;;;;x;
death_of_ruler;Death of Ruler;x;
AGRESSION_WAR_PUPPET_NAME_ENL_FRA;The Hundred Year's War;x;
NORMAL_WAR_PUPPET_NAME_ENL_FRA;The Hundred Year's War;x;
holy_war;Holy War;x;
holy_war_desc;Declare a Holy War in $Ystate$W;x;
holy_war_short;Holy war in;x;
holy_war_setup;Declare a Holy War in $STATE$ of $RECIPIENT$;X;
acquire_capital;Acquire capital;x;
acquire_capital_desc;Acquire an enemy §Ystate§W;x;
acquire_capital_short;Acquire $STATE$;x;
acquire_capital_setup;Acquire $STATE$ from $RECIPIENT$;x;
EVTOPTE110000;Close;x;
EVTNAME50000;The Treaty of Tours;x;
crown_of_Bohemia_title;Crown of Bohemia;x;
secure_electors;Secure Electors;x;
EVTDESC50000;On May 28, 1444, King Henry IV of England and Charles VII of France accepted the Treaty of Tours. The terms said that Henry IV could marry the French king's niece and that, in return, Charles VII would be promised the territory of Maine, in northern France south of Normandy, plus a two-year truce between the kingdoms. However, rulers, including Your Majesty, are refusing to concede Maine to France, because the popular reaction would be bad for the kingdom. France is now demanding Maine, bringing the Treaty of Tours to an end, or war would be waged again. We will...;x;
EVTOPTA50000;...give Maine as promised. We need to remain the peace.;x;
EVTOPTB50000;...keep Maine to us. England will never surrender to a false king.;x;
EVTNAME50001;The Death of the Ruler;x;
EVTDESC50001;Lately, Your Majesty/Governor has had many health problems. We hired several doctors, but nothing helped. The population is becoming increasingly anxious and concerned about Your Majesty. Unfortunately, I have to inform you that Your Majesty of $COUNTRYNAME$ died in $OURCAPITAL$ this morning.;x;
EVTOPTA50001;The King is dead. Long live the King!;x;
EVTNAME50002;The Coronation of the New King;x;
EVTDESC50002;Because of Your Majesty's death, someone needs to succeed the throne and control the chaos that is in the country without a leader to guide the population. Then, Your Highness will become King/Queen of this amazing country, and to follow the traditions, we will make your coronation to make his succession official.;x;
EVTOPTA50002;Invite the pope to crown me. I want a glorious coronation.;x;
EVTOPTB50002;Make a humble coronation.;x;
EVTNAME60001;Royal Wedding of Isabella I;x;
EVTDESC60001;Since Isabella I is now Queen of Castile and León, she will be able to marry some kings. Fernando II of Aragon - Was betrothed to Isabella since she was 6 years old. He will give us a strong alliance with Aragon, and this could be beneficial for both kingdoms. Afonso V of Portugal - Henrique IV of Castile, the late king, tried to marry Isabella I to Alfonso V, her brother-in-law, but she refused. Maybe she changes her mind. It will give us a strong alliance with Portugal, and this could be beneficial for both kingdoms. Both can cause the formation of Spain.;x;
EVTOPTA60001;Fernando II of Aragon;x;
EVTOPTB60001;Afonso V of Portugal;x;
build_a_palace_title;§YDecision§! - Build a Palace;x;
build_a_palace_desc;We could build a great palace to demonstrate the glory and power of our country.;x;
form_polish_lithuanian_title;§YMission§! - Form Polish-Lithuanian Commonwealth;x;
form_polish_lithuanian_desc;The Polish–Lithuanian Commonwealth, formally known as the Kingdom of Poland and the Grand Duchy of Lithuania, and, after 1791, the Commonwealth of Poland, was a country and bi-federation of Poland and Lithuania ruled by a common monarch in real union, who was both King of Poland and Grand Duke of Lithuania.;x;
form_mongol_empire_title;The Legacy of Genghis Khan;x;
form_mongol_empire_desc;"We finally managed to regain our territories and return to our glory! All Mongolian Khans were expelled and subjugated to our mighty empire. It's time to rescue the Empire from Genghis Khan!";x;
form_ireland_title;Unite Ireland;x;
form_ireland_desc;"Even with threats in the east and north, we managed to unify our lands. England and Scotland have always had interests in these lands, but together we will be able to defeat them. God save Ireland!";x;
form_russia_title;Third Rome;x;
form_russia_desc;"Our people come from the Slavs, but even so we were conquered by different peoples like the barbarians of the north and east. We are no longer a kingdom, we are an Empire that is capable of defending itself against anyone. God save Russia and the Tsar! We are the Third Rome!";x;
form_spain_title;Unite the Two Crows;x;
form_spain_desc;"After centuries, the crowns are finally one. We managed to reconquer all of Iberia from the Moors. Now that we are the central power of the Peninsula, we have power and influence over all of Western Europe. Plus Ultra!";x;
aztec_human_sacrifice_title;§YDecision§! - Aztec Human Sacrifice;x;
aztec_human_sacrifice_desc;Human sacrifice was common in many parts of Mesoamerica, so the rite was nothing new to the Aztecs when they arrived at the Valley of Mexico, nor was it something unique to pre-Columbian Mexico. Human sacrifice was common in many parts of Mesoamerica, so the rite was nothing new to the Aztecs when they arrived at the Valley of Mexico, nor was it something unique to pre-Columbian Mexico.;x;
EVTNAME70020;Fix Pop's Ideology;x;
EVTDESC70020;Event to fix ideology of all pops.;x;
EVTOPTA70020;Fix all pops.;x;
9832491desc;Wladyslaw III, also known as Ladislaus of Varna, was King of Poland and the Supreme Duke of Grand Duchy of Lithuania from 1434 as well as King of Hungary and Croatia. Yesterday, in the Battle of Varsa, at the War of Crusade of Varna, the young king was killed while personally leading his own 500-strong royal Polish heavy cavalry company, his charge losing impetus and coming to a standstill amongst the unyielding Janissaries protecting the sultan. The Janissaries killed the king's bodyguard and beheaded Wladyslaw, displaying his head on a pole. Disheartened by the death of their king, the Hungarian army fled the battlefield. Neither the king's body nor his armor were ever found.;X;
EVTNAME50054;§YMission§! - Assassination Attempt on the King;x;
EVTDESC50054;Tonight, there is a §RAttempt at poisoning§! against Your Majesty of $COUNTRY$. The cause of the crime is unknown, but the populace and many nobles believe it stems from the downfall of $IDEOLOGY$, the group Your Majesty sternly supports.;x;
EVTOPTA50054;What a pity... Wait;x;
EVTNAME110000;The Papacy;x;
EVTDESC110000;Possible actions with the Papacy:;x;
EVTOPTA110000;Sell Indulgences;x;
EVTOPTB110000;Ask for blessing;x;
EVTOPTD110000;Call a Crusade;x;
papal_influence_modifier;Papal Influence Modifier;x;
papal_influence;Papal Influence;x;
religious_tech_school;Religious Tech School;x;
more_papal_influence;More Papal Influence Modifier;x;
EVTOPTC110000;Increase Papal Influence;x;
assassination_of_king_title;§YDecision§! - Attempt to assassinate ruler.;x;
papacy_relations_title;The Papacy;x;
papacy_relations_desc;Open the screen of all possible actions with the Papacy;x;
WAR_HOLY_WAR_NAME;Holy War Casus Belli;x;
assassination_of_king_desc;Click here to Attempt to assassinate ruler.;x;
transport_boat;Transport Boat;x;
prisoners_of_war;Prisioners;x;
fervent_clergy_focus;Increase loyalty of High Clergy;x;
clergy_focus;Increase loyalty of Clergy;x;
modern_focus;Increase loyalty of Modern Clergy;x;
petty_bourgeoisie_focus;Increase loyalty of Petty Bourgeoisie;x;
upper_bourgeoisie_focus;Increase loyalty of Upper Bourgeoisie;x;
nobility_focus;Increase loyalty of Nobility;x;
enable_decisions_title;Enable Decisions;x;
disable_decisions_title;Disable Decisions;x;
enable_missions_title;Enable Missions;x;
enable_decisions_desc;Click here to Enable Decisions;x;
disable_decisions_desc;Click here to Disable Decisions;x;
enable_missions_desc;Click here to Enable Missions;x;
disable_missions_title;Disable Missions;x;
disable_missions_desc;Click here to Disable Missions;x;
PROV3264;Andorra;x
PROV3265;Bayonne;x
PROV3266;Vlore;x
PROV3267;Sarande;x
PROV3268;Durres;x
PROV3283;Kyoto;x;
PROV3280;Mie;x;
PROV3281;Kumamoto;x;
KIU;Kikuchi;x;
KIU_ADJ;Kikuchi's;x;
reconquest_normandy_title;§BMission§! - Reconquest Normandy;x;
reconquest_normandy_desc;Our victory over England will be marked from the moment we reconquer Normandy, a land originally French, but made independent by William the Conqueror in order to reign over England. The rivalries between us and the English for this piece of land are increasing.;x;
reconquest_gascony_title;§BMission§! - Reconquest Gascony;x;
reconquest_gascony_desc;To definitively end the English invasion of our lands, we must reconquer Gascony, a region located in the southwest of France.;x;
win_hundred_war_title;§BMission§! - Win the Hundred Years War;x;
win_hundred_war_desc;We have reconquered and driven the English from our lands, removed the English king's claim to our throne, and now we can forever end this war that has lasted for 116 years.;x;
medieval_art;Medieval Art;x;
gothic_art;Gothic Art;x;
manueline;Manueline;x;
trecento;Trecento;x;
renaissance;Renaissance;x;
quattrocento;Quattrocento;x;
high_renaissance;High Renaissance;x;
leonardo_da_vinci;Leonardo da Vinci;x;
raffaello_sanzio;Raffaello Sanzio;x;
michelangelo;Michelangelo;x;
bramante;Bramante;x;
YAM_ADJ;Yamana's;Yamana's;Yamana's;;;;;;;;;;;x;
