religious_tech_school;Religious Tech School;x;
workshop_school;Workshop School;x;
gothic_architecture;Gothic Architecture;x;
renaissance;Renaissance;x;
mannerism;Mannerism;x;
baroque;Baroque;x;
rococo;Rococo;x;
classicism;Classicism;x;
medieval_philosophy;Medieval Philosophy;x;
scholastic;Scholastic;x;
renaissance_philosophy;Renaissance Philosophy;x;
pre_enlightenment;Pre Enlightenment;x;
enlightenment;Enlightenment;x;
POR_fervent_clergy;High Clergy;x;
POR_clergy;Low Clergy;x;
POR_modern_clergy;Modern Clergy;x;
POR_petty_bourgeoisie;Petty Bourgeoisie;x;
POR_upper_bourgeoisie;Upper Bourgeoisie;x;
POR_nobility;High Nobility;x;
fervent_clergy;High Clergy;x;
clergy;Low Clergy;x;
modern_clergy;Modern Clergy;x;
petty_bourgeoisie;Petty Bourgeoisie;x;
upper_bourgeoisie;Upper Bourgeoisie;x;
nobility;High Nobility;x;
landowners;Landowners;x;
POR_landowners;Landowners;x;
peasants;Peasants;x;
POR_peasants;Peasants;x;
FRA_peasants;Jacqueries;x;
people;Revolutionaries;x;
